;name;category;level;description;input;output;has_images;s_level;submissions;solved;ratio
1011;Sphere;Beginner;3;"Make a program that calculates and shows the volume of a sphere being provided the value of its radius (R) . The formula to calculate the volume is: (4/3) * pi * R3. Consider (assign) for pi the value 3.14159.

Tip: Use (4/3.0) or (4.0/3) in your formula, because some languages (including C++) assume that the division's result between two integers is another integer. :)";The input contains a value of floating point (double precision).;"The output must be a message ""VOLUME"" like the following example with a space before and after the equal signal. The value must be presented with 3 digits after the decimal point.";False;3 / 10;215140;99286;46.15%
1012;Area;Beginner;3;"Make a program that reads three floating point values: A, B and C. Then, calculate and show:
				a) the area of the rectangled triangle that has base A and height C.
				b) the area of the radius's circle C. (pi = 3.14159) 
				c) the area of the trapezium which has A and B by base, and C by height.
				d) the area of ​​the square that has side B.
				e) the area of the rectangle that has sides A and B.";The input file contains three double values with one digit after the decimal point.;The output file must contain 5 lines of data. Each line corresponds to one of the areas described above, always with a corresponding message (in Portuguese) and one space between the two points and the value. The value calculated must be presented with 3 digits after the decimal point.;False;3 / 10;206837;94987;45.92%
1013;The Greatest;Beginner;3;"Make a program that reads 3 integer values and present the greatest one followed by the message ""eh o maior"". Use the following formula:";The input file contains 3 integer values.;Print the greatest of these three values followed by a space and the message “eh o maior”.;True;3 / 10;179708;91237;50.77%
1014;Consumption;Beginner;3;Calculate a car's average consumption being provided the total distance traveled (in Km) and the spent fuel total (in liters).;The input file contains two values: one integer value X  representing the total distance (in Km) and the second one is a floating point number Y   representing the spent fuel total, with a digit after the decimal point.;"Present a value that represents the average consumption of a car with 3 digits after the decimal point, followed by the message ""km/l"".";False;3 / 10;170751;94078;55.10%
1015;Distance Between Two Points;Beginner;2;"Read the four values corresponding to the x and y axes of two points in the plane, p1 (x1, y1) and p2 (x2, y2) and calculate the distance between them, showing four decimal places after the comma, according to the formula:
                
                    Distance =";The input file contains two lines of data. The first one contains two double values: x1 y1 and the second one also contains two double values with one digit after the decimal point: x2 y2.;Calculate and print the distance value using the provided formula, with 4 digits after the decimal point.;True;2 / 10;160722;92393;57.49%
1016;Distance;Beginner;1;"Two cars (X and Y) leave in the same direction. The car X leaves with a constant speed of 60 km/h and the car Y leaves with a constant speed of 90 km / h.

				 In one hour (60 minutes) the car Y can get a distance of 30 kilometers from the X car, in other words, it can get away one kilometer for each 2 minutes.

				
					 Read the distance (in km) and calculate how long it takes (in minutes) for the car Y to take this distance in relation to the other car.";The input file contains 1 integer value.;"Print the necessary time followed by the message ""minutos"" that means minutes in Portuguese.";False;1 / 10;117932;83358;70.68%
1017;Fuel Spent;Beginner;1;Little John wants to calculate and show the amount of spent fuel liters on a trip, using a car that does 12 Km/L. For this, he would like you to help him through a simple program. To perform the calculation, you have to read spent time (in hours) and the same average speed (km/h). In this way, you can get distance and then, calculate how many liters would be needed. Show the value with three decimal places after the point.;The input file contains two integers. The first one is the spent time in the trip (in hours). The second one is the average speed during the trip (in Km/h).;Print how many liters would be needed to do this trip, with three digits after the decimal point.;False;1 / 10;130949;85481;65.28%
1018;Banknotes;Beginner;5;In this problem you have to read an integer value and calculate the smallest possible number of banknotes in which the value may be decomposed. The possible banknotes are 100, 50, 20, 10, 5, 2 e 1. Print the read value and the list of banknotes.;The input file contains an integer value N (0 < N < 1000000).;Print the read number and the minimum quantity of each necessary banknotes in Portuguese language, as the given example. Do not forget to print the end of line after each line, otherwise you will receive “Presentation Error”.;False;5 / 10;215794;78888;36.56%
1019;Time Conversion;Beginner;1;Read an integer value, which is the duration in seconds of a certain event in a factory, and inform it expressed in hours:minutes:seconds.;The input file contains an integer N.;Print the read time in the input file (seconds) converted in hours:minutes:seconds like the following example.;False;1 / 10;136247;81515;59.83%
1020;Age in Days;Beginner;2;"Read an integer value corresponding to a person's age (in days) and print it in years, months and days, followed by its respective message “ano(s)”, “mes(es)”, “dia(s)”.
	
	Note: only to facilitate the calculation, consider the whole year with 365 days and 30 days every month. In the cases of test there will never be a situation that allows 12 months and some days, like 360, 363 or 364. This is just an exercise for the purpose of testing simple mathematical reasoning.";The input file contains 1 integer value.;Print the output, like the following example.;False;2 / 10;151827;81508;53.68%
1021;Banknotes and Coins;Beginner;7;Read a value of floating point with two decimal places. This represents a monetary value. After this, calculate the smallest possible number of  notes and coins on which the value can be decomposed. The considered notes are of 100, 50, 20, 10, 5, 2. The possible coins are of 1, 0.50, 0.25, 0.10, 0.05 and 0.01. Print the message “NOTAS:” followed by the list of notes and the message “MOEDAS:” followed by the list of coins.;The input file contains a value of floating point N (0 ≤ N ≤ 1000000.00).;Print the minimum quantity of banknotes and coins necessary to change the initial value, as the given example.;False;7 / 10;195309;49668;25.43%
1022;TDA Rational;Data Structures and Libraries;4;"You were invited to do a little job for your Mathematic teacher. The job is to read a Mathematic expression in format of two rational numbers (numerator / denominator) and present the result of the operation. Each operand or operator is separated by a blank space. The input sequence (each line) must respect the following format: number, (‘/’ char), number, operation char (‘/’, ‘*’, ‘+’, ‘-‘), number, (‘/’ char), number. The answer must be presented followed by ‘=’ operator and the simplified answer. If the answer can’t be simplified, it must be repeated after a ‘=’ operator. 
    	
	Considering N1 and D1 as numerator and denominator of the first fraction, follow the orientation about how to do each one of these 4 operations:
    
	Sum: (N1*D2 + N2*D1) / (D1*D2)
	Subtraction: (N1*D2 - N2*D1) / (D1*D2)
	Multiplication: (N1*N2) / (D1*D2)
	Division: (N1/D1) / (N2/D2), that means (N1*D2)/(N2*D1)";The input contains several cases of test. The first value is an integer N (1 ≤ N ≤ 1*104), indicating the amount of cases of test that must be read. Each case of test contains a rational value X (1 ≤ X ≤ 1000), an operation (-, +, * or /) and another rational value Y (1 ≤ Y ≤ 1000).;The output must be a rational number, followed by a “=“ sign and another rational number, that is the simplification of the first value. In case of the first value can’t be simplified, the same value must be repeated after the ‘=’ sign.;False;4 / 10;15395;6280;40.79%
1024;Encryption;Strings;6;"You have been asked to build a simple encryption program. This program should be able to send coded messages 
	without someone been able to read them. The process is very simple. It is divided into two parts. 
	First, each uppercase or lowercase letter must be shifted three positions to the right, according to the ASCII table: letter 'a' should become letter 'd', letter 'y' must become the character '|' and so on. Second, each line must be reversed. After being reversed, all characters from the half on (truncated) 
	must be moved one position to the left in ASCII. In this case, 'b' becomes 'a' and 'a' becomes '`'. 
	For example, if the resulting word of the first part is ""tesla"", the letters ""sla"" should be moved one position to the left. However, if the 
	resulting word of the first part is ""t#$A"", the letters ""$A"" are to be displaced.";"The input contains a number of cases of test. The first line of each case of test contains an integer N (1 ≤ N ≤ 1 * 10⁴), 
	indicating the number of lines the problem should encrypt. The following N lines contain M characters each M (1 ≤ 
	M ≤ 1 * 10³).";For each input, you must present the encrypted message.;False;6 / 10;37995;13402;35.27%
1025;Where is the Marble?;Data Structures and Libraries;5;Raju and Meena love to play with Marbles. They have a lot of marbles with numbers written on them. In the beginning, Raju would place the marbles one after another in ascending order of the numbers written on them. Then, Meena would ask Raju to find the first marble with a certain number. She would count 1...2...3. Raju gets one point for correct answer, and Meena gets the point if Raju fails. After some fixed number of attempts, the game ends and the player with maximum points wins. Today it's your chance to play as Raju. Being a smart kid, you have in your advantage the computer. But don't underestimate Meena, she wrote a program to keep track how much time you're taking to give all the answers. So now you have to write a program, which will help you in your role as Raju.;"There can be multiple test cases. The total number of test cases is less than 65. Each test case consists begins with 2 integers: N the number of marbles and Q the number of queries Meena would make. The next N lines would contain the numbers written on the N marbles. These marble numbers will not come in any particular order. Following Q lines will have Q queries. Be assured, none of the input numbers are greater than 10000 and none of them are negative.
	Input is terminated by a test case where N = 0 and Q = 0.";"For each test case output there must be a serial number of the test case. For each query, write one line of output. The format of this line will depend on whether the number is consulted or not written in one of the marbles. The two different formats are described below:
	'x found at y', if the first marble with number x was found at position y. Positions are numbered 1, 2,..., N.
	'x not found', if the marble with number x is not present.";False;5 / 10;21963;6603;30.06%
1026;To Carry or not to Carry;Ad-Hoc;5;"6+9=15 seems okay. But how come 4+6=2?
	
	Look at, Mofiz worked hard throughout his Digital Logic course, but when he was asked to implement a 32 bit adder for the laboratory exam, he did some mistake in the design part. After scavenging the design for half an hour, he found his flaw!! He was doing bitwise addition but his carry bit always had zero output. Thus,
	
	4  = 00000000 00000000 00000000 00000100
	+6 = 00000000 00000000 00000000 00000110
	----------------------------------------
	2  = 00000000 00000000 00000000 00000010
	
	It’s a good thing that he finally found his mistake, but it was too late. Considering his effort throughout the course, the instructor gave him one more chance. Mofiz had to write an efficient program that would take 2 unsigned 32 bit decimal numbers as input, and produce an unsigned 32 bit decimal number as the output adding in the same way as his circuit does.";In each input line there will be a pair of integer separated by a single space. Input ends at EOF.;"For each input line, the program must provide  an output's line: the value after adding the two numbers in the ""Mofiz way"".";True;5 / 10;32608;10828;33.21%
1027;Critical Wave;Paradigms;8;"The task is simple. Through some critical points in 2D, you have to draw a wave like curve. Your goal is to include as many points as possible.

	
		There will be an imaginary line  y = a, which we call the major axis for the curve.
		
	
		All the points on the curve should have different x coordinates. Their y coordinates should be of form a-1 or a+1.


	
	Two consecutive points on the curve should have a difference of 2 in their y coordinate.";There will be no more than 222 test cases. Each test case starts with an integer N, the number of points in the test case. In the next N lines, there will be N pair of integers giving the x and y coordinate of the points. There will be no more than 1000 points in each test case. All coordinates are integers -- they'd fit in a signed 2 byte integer data type. The data must be read of default input.;For each test case print a number -- the maximum number of critical points that can be included in a curve drawn from the given points.;True;8 / 10;2154;511;23.72%
1028;Collectable Cards;Mathematics;3;Richard and Vicent are crazy about football collectable cards. In their spare time, they arrange a way of playing some game involving such cards. Both also have the habit of exchanging the repeated cards with their friends, and one day they thought about a different game. They called all their friends and proposed the following: with the cards in hand, each one tried to make an exchange with his closest friend following this simple rule: each one must count how many cards he owned. After this, they had to split these cards into stacks, all of it with the same size, as large as it was possible for both players. Then, each one choose one of the friend's card stacks to receive. For example, if Richard and Vincent would change the cards with respectively 8 and 12 cards each, both must put his cards in stacks of four cards (Richard would have two stacks and Vincent had three stacks), and both choose a stack from his friend to receive it.;The first input line contains a single integer N (1 ≤ N ≤ 3000), indicating the number of test cases. Each test case contains two integer numbers F1 (1 ≤ F1 ≤ 1000) and F2 (1 ≤ F2 ≤ 1000)  indicating, respectly, the among of collectable cards that Richard and Vicent have to change.;For each test case there will be an integer number at the output, representing the maximum size of the stack of cards which can be exchanged between two players.;True;3 / 10;24375;10142;41.61%
1029;Fibonacci, How Many Calls?;Paradigms;3;"Sometimes when you are a Computer Science student, you’ll see an exercise or  a problem involving the Fibonacci sequence. This sequence has the first two values 0 (zero) and 1 (one) and each next value will always be the sum of the two preceding numbers. By definition, the formula to find any Fibonacci number is:
                    
                        fib(0) = 0
                        fib(1) = 1
                        fib(n) = fib(n-1) + fib(n-2);
                    One way of finding Fibonacci numbers is by recursive calls. This is illustrated below, presenting the tree of derivation when we calculate fib(4), i.e. the fifth value of this sequence:
                  
                    
                
                In this way,
                
                    
                        fib(4) = 1+0+1+1+0 = 3
                    
                        8 recursive calls were done.";The first input line contains a single integer N, indicating the number of test cases. Each test case contains an integer number X (1 ≤ X ≤ 39) .;For each test case we will have an output line, in the following format:  fib(n) = num_calls calls = result, where num_calls is the number of recursive calls, always with a space before and after the equal sign, as shown below.;True;3 / 10;18508;9157;49.48%
1030;Flavious Josephus Legend;Ad-Hoc;4;The Josephus' problem is known because of the Flavius Josephus' legend, a Jewish historian living in the 1st century. According to Josephus' account of the siege of Yodfat, he and his 40 comrade soldiers were trapped in a cave, the exit of which one was blocked by Romans. They chose suicide over capture and decided that they would form a circle and start killing themselves skipping three in three. Josephus says that, by luck or maybe by the hand of God, he remained the last and gave up to the Romans.”;"There are NC (1 ≤ NC ≤ 30 ) test cases. 
                    In each input test case there will be a pair of positive integer numbers n (1 ≤ n ≤ 10000 ) and k (1 ≤ k ≤ 1000). The number n represents the quantity of people in the circle, numbered from 1 to n. The number k represents the size of step between two men in the circle.
                    Follow an example with 5 men and step 2: In this example the remaining element is 3.
                    
                
                The data must be read from standard input.";For each test case we will have an output line, presenting in the following format: Case n: m always with a space before n and m.;True;4 / 10;14011;6305;45.00%
1031;Power Crisis;Ad-Hoc;4;"During a power crisis in New Zealand last winter (caused by a shortage of rain and hence low levels in the hydro dams), a contingency scheme was developed to turn off the power to areas of the country in a systematic, totally fair, manner. The country was divided up into N regions (Auckland was region number 1, and Wellington number 13). A number, m, would be picked `at random', and the power would first be turned off in region 1 (clearly the fairest starting point) and then in every m'th region after that, wrapping around to 1 after N, and ignoring regions already turned off. For example, if N = 17 and m = 5, power would be turned off to the regions in the order: 1,6,11,16,5,12,2,9,17,10,4,15,14,3,8,13,7.
	The problem is that it is clearly fairest to turn off the region of Wellington by last(after all, that is where the Electricity headquarters are), so for a given N, the `random' number m needs to be carefully chosen so that region 13 is the last region selected.
	Write a program that will read in the number of regions and then determine the smallest number m that will ensure that Wellington (region 13) can function while the rest of the country is blacked out.";Input will consist of a series of lines, each line containing the number of regions N (13 ≤ N ≤ 100 ). The file will be terminated by a line consisting of a single 0.;Output will consist of a series of lines, one for each line of the input. Each line will consist of the number m according to the above scheme.;True;4 / 10;4862;2514;51.71%
1032;Joseph’s Cousin;Ad-Hoc;5;"The Joseph’s problem is notoriously known. For those who are not familiar with the problem, among people numbered 1,2…n, standing in circle every mth is going to be executed and only the life of the last remaining person will be saved. Joseph was smart enough to choose the position of the last remaining person, thus saving his life to give the message about the incident.
	Although many good programmers have been saved since Joseph spread out this information, Joseph’s cousin introduced a new variant of the malignant game. This insane character is known for its barbarian ideas and wishes to clean up the world from silly programmers. We had to infiltrate some agents of the ACM in order to know the process in this new mortal game.
	In order to save yourself from this evil practice, you must develop a tool capable of predicting which person will be saved.
	The Destructive Process
	The persons are eliminated in a very peculiar order; m is a dynamical variable, which each time takes a different value corresponding to the prime numbers’ succession (2,3,5,7…). So in order to kill the ith person, Joseph’s cousin counts up to the ith prime."; It consists of separated lines containing n [1..3501], and finishes with a 0.;The output will consist in separated lines containing the person's position which the life will be saved.;False;5 / 10;4637;1765;38.06%
1033;How Many Calls?;Paradigms;6;"The Fibonacci number is defined by the following recurrence:

	
		fib(0) = 0
	
		fib(1) = 1
	
		fib(n) = fib(n-1)+fib(n-2)


	But we're not interested in the Fibonacci numbers here. We would like to know how many calls does it take to evaluate the n Fibonacci number if we follow the given recurrence. Since the numbers are going to be quite large, we'd like to make the job a bit easy for you. We'd only need the last digit of the number of calls, when this number is represented in base b.";Input consists of several test cases. For each test there will be two integers n (0 ≤ n < (263 - 1)) and b (1 < b ≤ 10000). Input is terminated by a test case where n=0 and b=0, you must not process this test case.;For each test case, print the number of test case first. Then print n, b and the last digit (in base b) of the number of calls. There should be a single space between the two numbers of a line. Note that the last digit has to be represented in decimal number system.;False;6 / 10;2071;655;31.63%
1034;Ice Statues Festival;Paradigms;7;"Every year, artists from around the world came to the city, where they make giant ice sculptures. The city becomes an open sky art gallery, since the sculptures are exposed in the street for weeks, without melting. This is because the average winter temperature in Harbin (time that will occur at the end of the world ICPC) is -20 degrees.
                    
                    The first step to make the sculpture is to assemble a large block of ice with the size requested by the artist. The blocks are cut from the glaciers of Harbin in blocks of standard height and depth, and several different lengths. The artist can determine the length he wishes his block of ice and the sculpture can begin to be carved.
                    
                    The lengths of the available blocks are {a1; a2; ...;  aN} and wished length by the artist is M. The block with length = 1 is widely used, for this reason he always appears in the list of available blocks. Your task is to find the minimum number of blocks such that the sum of their lengths is M.";"In the first input line there is an integer T indicating the number of test cases. Each test case contains two positive integer numbers N (1 ≤ N ≤ 25) and M (1 ≤ M ≤ 1000000). The number N represents the quantity of block types and the all size wished by the artist, respectively. The next line contains a1; a2; ...; aN integers, where (1 ≤ ai ≤ 100) for all i (1,2,...N) separated by a blank space.";For each test case, print the minimum needed blocks to get a block with M length.;True;7 / 10;8305;2782;33.50%
1035;Selection Test 1;Beginner;3;Read 4 integer values A, B, C and D. Then if B is greater than C and D is greater than A and if the sum of C and D is greater than the sum of A and B and if C and D were positives values and if A is even, write the message “Valores aceitos” (Accepted values). Otherwise, write the message “Valores nao aceitos” (Values not accepted).;Four integer numbers A, B, C and D.;Show the corresponding message after the validation of the values​​.;False;3 / 10;171682;78980;46.00%
1036;Bhaskara's Formula;Beginner;4;Read 3 floating-point numbers. After, print the roots of bhaskara’s formula. If it's impossible to calculate the roots because a division by zero or a square root of a negative number, presents the message “Impossivel calcular”.;Read 3 floating-point numbers A, B and C.;Print the result with 5 digits after the decimal point or the message if it is impossible to calculate.;False;4 / 10;192461;67487;35.07%
1037;Interval;Beginner;5;"You must make a program that read a float-point number and print a message saying in which of following intervals the number belongs: [0,25] (25,50], (50,75], (75,100]. If the read number is less than zero or greather than 100, the program must print the message “Fora de intervalo” that means ""Out of Interval"".
                    
                    The symbol '(' represents greather than. For example:
                    [0,25] indicates numbers between 0 and 25.0000, including both.
                    (25,50] indicates numbers greather than 25 (25.00001) up to 50.0000000.";The input file contains a floating-point number.;The output must be a message like following example.;False;5 / 10;187779;67128;35.75%
1038;Snack;Beginner;2;"Using the following table, write a program that reads a code and the amount of an item. After, print the value to pay. This is a very simple program with the only intention of practice
of selection commands.";The input file contains two integer numbers X and Y. X is the product code and Y is the quantity of this item according to the above table.;"The output must be a message ""Total: R$ "" followed by the total value to be paid, with 2 digits after the decimal point.";True;2 / 10;144042;76432;53.06%
1039;Fire Flowers;Computational Geometry;5;"Nowadays a fire flower isn’t a thing considered strange for many young people. This is because a famous video game popularized this type of flower. In this game the protagonist gained superpowers by touching a fire flower, going to shoot small fireballs to defeat his enemies.
    
	However, it was already said about fire flowers a long time ago. In Polish mythology, fire flowers are flowers of great mystical power guarded by evil spirits. She had this name because it was so bright that was impossible to look at her directly. Who got such flower possessed the ability to read the other people's minds, finding hidden treasures and repel all evil.
    
	To get a fire flower, one person should look for it in a forest before midnight on the eve of Kupaly Noc. Exactly at midnight, she flourished. To harvest it would be necessary to draw a circle around her. It seems an easy task, however, the evil spirits that guard the flower of all try to distract anyone trying to pick the flower. If the person failed when trying to draw a circle around the flower, would have his life sacrificed.
    
	Given two circles, one designed by an ambitious fire flowers hunter and another representing the area of the flower, your task is to determine if the hunter dies or becomes rich with his conquest.";"The input contains many instances and ends with end of file (EOF). Each instance consists in a line with six integers: R1 (1 ≤ R1) , X1(|X1|), Y1(|Y1|), R2 (R2 ≤ 1000), X2(|X2|), Y2 (Y2 ≤ 1000).
	
	The circle drawn by the hunter has radius R1 and center (X1; Y1). The circle that represents the flower area have radius R2 e center (X2; Y2).";For each test case we will have a line of output, containing “MORTO” (dead) or “RICO” (rich) if the hunt can pick the flower.;False;5 / 10;12437;4758;38.26%
1040;Average 3;Beginner;6;"Read four numbers (N1, N2, N3, N4), which one with 1 digit after the decimal point, corresponding to 4 scores obtained by a student. Calculate the average with weights 2, 3, 4 e 1 respectively, for these 4 scores and print the message ""Media: "" (Average), followed by the calculated result. If the average was 7.0 or more, print the message ""Aluno aprovado."" (Approved Student). If the average was less than 5.0, print the message: ""Aluno reprovado."" (Reproved Student). If the average was between 5.0 and 6.9, including these, the program must print the message ""Aluno em exame."" (In exam student).
                
                    In case of exam, read one more score. Print the message ""Nota do exame: "" (Exam score) followed by the 
                    typed score. Recalculate the average (sum the exam score with the previous calculated average and divide by 2) 
                    and print the message “Aluno aprovado.” (Approved student) in case of average 5.0 or more) 
                    or ""Aluno reprovado."" (Reproved student) in case of average 4.9 or less. For these 2 cases (approved or reproved after the exam) print the message ""Media final: "" (Final average) followed by the final average for this student in the last line.";The input contains four floating point numbers that represent the students' grades.;Print all the answers with one digit after the decimal point.;False;6 / 10;191035;51769;27.10%
1041;Coordinates of a Point;Beginner;4;"Write an algorithm that reads two floating values (x and y), which should represent the coordinates of a point in a plane. Next, determine which quadrant the point belongs, or if you are over one of the Cartesian axes or the origin (x = y = 0).
                
                    
                
                    If the point is at the origin, write the message ""Origem"".
                
                    If the point is over X axis write ""Eixo X"", else if the point is over Y axis write ""Eixo Y"".";The input contains the coordinates of a point.;The output should display the quadrant in which the point is.;True;4 / 10;177282;61609;34.75%
1042;Simple Sort;Beginner;3;Read three integers and sort them in ascending order. After, print these values in ascending order, a blank line and then the values in the sequence as they were readed.;The input contains three integer numbers.;Present the output as requested above.;False;3 / 10;130946;58759;44.87%
1043;Triangle;Beginner;3;"Read three point floating values (A, B and C) and verify if is possible to make a triangle with them. If it is possible, calculate the perimeter of the triangle and print the message:

	Perimetro = XX.X

	If it is not possible, calculate the area of the trapezium which basis A and B and C as height, and print the message:

	Area = XX.X";The input file has tree floating point numbers.;Print the result with one digit after the decimal point.;False;3 / 10;99903;51125;51.17%
1044;Multiples;Beginner;4;"Read two nteger values (A and B). After, the program should print the message ""Sao Multiplos"" (are multiples) or ""Nao sao Multiplos"" (aren’t multiples), corresponding to the read values.";The input has two integer numbers.;Print the relative message to the input as stated above.;False;4 / 10;137008;61295;44.74%
1045;Triangle Types;Beginner;6;"Read 3 double numbers (A, B and C) representing the sides of a triangle and arrange them in decreasing order, so that the side A is the biggest of the three sides. Next, determine the type of triangle that they can make, based on the following cases always writing an appropriate message:
	

	
		if A ≥ B + C, write the message: NAO FORMA TRIANGULO
	
		if A2 = B2 + C2, write the message: TRIANGULO RETANGULO
	
		if A2 > B2 + C2, write the message: TRIANGULO OBTUSANGULO
	
		if A2 < B2 + C2, write the message: TRIANGULO ACUTANGULO
	
		if the three sides are the same size, write the message: TRIANGULO EQUILATERO
	
		if only two sides are the same and the third one is different, write the message: TRIANGULO ISOSCELES";The input contains three double numbers, A (0 < A) , B (0 < B) and C (0 < C).;Print all the classifications of the triangle presented in the input.;False;6 / 10;126032;41133;32.64%
1046;Game Time;Beginner;3;Read the start time and end time of a game, in hours. Then calculate the duration of the game, knowing that the game can begin in a day and finish in another day, with a maximum duration of 24 hours. The message must be printed in portuguese “O JOGO DUROU X HORA(S)” that means “THE GAME LASTED X HOUR(S)”;Two integer numbers representing the start and end time of a game.;Print the duration of the game as in the sample output.;False;3 / 10;90190;47223;52.36%
1047;Game Time with Minutes;Beginner;7;"Read the start time and end time of a game, in hours and minutes (initial hour, initial minute, final hour, final minute). Then print the duration of the game, knowing that the game can begin in a day and finish in another day,

	Obs.: With a maximum game time of 24 hours and the minimum game time of 1 minute.";Four integer numbers representing the start and end time of the game.;Print the duration of the game in hours and minutes, in this format: “O JOGO DUROU XXX HORA(S) E YYY MINUTO(S)” . Which means: the game lasted XXX hour(s) and YYY minutes.;False;7 / 10;104277;35191;33.75%
1048;Salary Increase;Beginner;2;"The company ABC decided to give a salary increase to its employees, according to the following table:
                
                
                    
                        
                                
                                    
                                        Salary
                                         Readjustment Rate
                                    
                                
                                
                                    
                                        
                                            
                                                    0 - 400.00
                                                    400.01 - 800.00
                                                    800.01 - 1200.00
                                                    1200.01 - 2000.00
                                                    Above 2000.00
                                        
                                        
                                            
                                                15%
                                                12%
                                                10%
                                                7%
                                                4%
                                        
                                    
                                
                             
                        
                    
                    
                    Read the employee's salary, calculate and print the new employee's salary, as well the money earned and the increase percentual obtained by the employee, with corresponding messages in Portuguese, as the below example.";The input contains only a floating-point number, with 2 digits after the decimal point.;"Print 3 messages followed by the corresponding numbers (see example) informing the new salary, the among of money earned and the percentual obtained by the employee. Note:
                    Novo salario:  means ""New Salary""
                    Reajuste ganho: means ""Money earned""
                    Em percentual: means ""In percentage""";False;2 / 10;109560;47163;43.05%
1049;Animal;Beginner;3;In this problem, your job is to read three Portuguese words. These words define an animal according to the table below, from left to right. After, print the chosen animal defined by these three words.;The input contains 3 words, one by line, that will be used to identify the animal, according to the above table, with all letters in lowercase.;Print the animal name according to the given input.;True;3 / 10;78984;37221;47.12%
