;name;category;level;description;input;output;has_images;s_level;submissions;solved;ratio
1011;Esfera;Iniciante;3;"Faça um programa que calcule e mostre o volume de uma esfera sendo fornecido o valor de seu raio (R). A fórmula para calcular o volume é: (4/3) * pi * R3. Considere (atribua) para pi o valor 3.14159. 

Dica: Ao utilizar a fórmula, procure usar (4/3.0) ou (4.0/3), pois algumas linguagens (dentre elas o C++), assumem que o resultado da divisão entre dois inteiros é outro inteiro.";O arquivo de entrada contém um valor de ponto flutuante (dupla precisão), correspondente ao raio da esfera.;"A saída deverá ser uma mensagem ""VOLUME"" conforme o exemplo fornecido abaixo, com um espaço antes e um espaço depois da igualdade. O valor deverá ser apresentado com 3 casas após o ponto.";False;3 / 10;215140;99286;46.15%
1012;Área;Iniciante;3;"Escreva um programa que leia três valores com ponto flutuante de dupla precisão: A, B e C. Em seguida, calcule e mostre: 
                    a) a área do triângulo retângulo que tem A por base e C por altura. 
                    b) a área do círculo de raio C. (pi = 3.14159) 
                    c) a área do trapézio que tem A e B por bases e C por altura. 
                    d) a área do quadrado que tem lado B. 
                    e) a área do retângulo que tem lados A e B.";O arquivo de entrada contém três valores com um dígito após o ponto decimal.;O arquivo de saída deverá conter 5 linhas de dados. Cada linha corresponde a uma das áreas descritas acima, sempre com mensagem correspondente e um espaço entre os dois pontos e o valor. O valor calculado deve ser apresentado com 3 dígitos após o ponto decimal.;False;3 / 10;206837;94987;45.92%
1013;O Maior;Iniciante;3;"Faça um programa que leia três valores e apresente o maior dos três valores lidos seguido da mensagem “eh o maior”. 
                    Utilize a fórmula:";O arquivo de entrada contém três valores inteiros.;"Imprima o maior dos três valores seguido por um espaço e a mensagem ""eh o maior"".";True;3 / 10;179708;91237;50.77%
1014;Consumo;Iniciante;3;"Calcule o consumo médio de um automóvel sendo fornecidos a distância 
                    total percorrida (em Km) e o total de combustível gasto (em litros).";O arquivo de entrada contém dois valores: um valor inteiro X representando a distância total percorrida (em Km), e um valor real Y representando o total de combustível gasto, com um dígito após o ponto decimal.;"Apresente o valor que representa o consumo médio do automóvel com 3 casas após a vírgula, seguido da mensagem ""km/l"".";False;3 / 10;170751;94078;55.10%
1015;Distância Entre Dois Pontos;Iniciante;2;"Leia os quatro valores correspondentes aos eixos x e y de dois pontos quaisquer no plano, p1(x1,y1) e p2(x2,y2) e calcule a distância entre eles, mostrando 4 casas decimais após a vírgula, segundo a fórmula:
                
                    Distancia =";O arquivo de entrada contém duas linhas de dados. A primeira linha contém dois valores de ponto flutuante: x1 y1 e a segunda linha contém dois valores de ponto flutuante x2 y2.;Calcule e imprima o valor da distância segundo a fórmula fornecida, com 4 casas após o ponto decimal.;True;2 / 10;160722;92393;57.49%
1016;Distância;Iniciante;1;"Dois carros (X e Y) partem em uma mesma direção. O carro X sai com velocidade constante de 60 Km/h e o carro Y sai com velocidade constante de 90 Km/h.

				 Em uma hora (60 minutos) o carro Y consegue se distanciar 30 quilômetros do carro X, ou seja, consegue se afastar um quilômetro a cada 2 minutos. 

				
					Leia a distância (em Km) e calcule quanto tempo leva (em minutos) para o carro Y tomar essa distância do outro carro.";O arquivo de entrada contém um número inteiro.;"Imprima o tempo necessário seguido da mensagem ""minutos"".";False;1 / 10;117932;83358;70.68%
1017;Gasto de Combustível;Iniciante;1;Joaozinho quer calcular e mostrar a quantidade de litros de combustível gastos em uma viagem, ao utilizar um automóvel que faz 12 KM/L. Para isso, ele gostaria que você o auxiliasse através de um simples programa. Para efetuar o cálculo, deve-se fornecer o tempo gasto na viagem (em horas) e a velocidade média durante a mesma (em km/h). Assim, pode-se obter distância percorrida e, em seguida, calcular quantos litros seriam necessários. Mostre o valor com 3 casas decimais após o ponto.;O arquivo de entrada contém dois inteiros. O primeiro é o tempo gasto na viagem (em horas) e o segundo é a velocidade média durante a mesma (em km/h).;Imprima a quantidade de litros necessária para realizar a viagem, com três dígitos após o ponto decimal;False;1 / 10;130949;85481;65.28%
1018;Cédulas;Iniciante;5;Leia um valor inteiro. A seguir, calcule o menor número de notas possíveis (cédulas) no qual o valor pode ser decomposto. As notas consideradas são de 100, 50, 20, 10, 5, 2 e 1. A seguir mostre o valor lido e a relação de notas necessárias.;O arquivo de entrada contém um valor inteiro N (0 < N < 1000000).;Imprima o valor lido e, em seguida, a quantidade mínima de notas de cada tipo necessárias, conforme o exemplo fornecido. Não esqueça de imprimir o fim de linha após cada linha, caso contrário seu programa apresentará a mensagem: “Presentation Error”.;False;5 / 10;215794;78888;36.56%
1019;Conversão de Tempo;Iniciante;1;Leia um valor inteiro, que é o tempo de duração em segundos de um determinado evento em uma fábrica, e informe-o expresso no formato horas:minutos:segundos.;O arquivo de entrada contém um valor inteiro N.;Imprima o tempo lido no arquivo de entrada (segundos), convertido para horas:minutos:segundos, conforme exemplo fornecido.;False;1 / 10;136247;81515;59.83%
1020;Idade em Dias;Iniciante;2;"Leia um valor inteiro correspondente à idade de uma pessoa em dias e informe-a em anos, meses e dias
                
                    Obs.: apenas para facilitar o cálculo, considere todo ano com 365 dias e todo mês com 30 dias. Nos casos de teste nunca haverá uma situação que permite 12 meses e alguns dias, como 360, 363 ou 364. Este é apenas um exercício com objetivo de testar raciocínio matemático simples.";O arquivo de entrada contém um valor inteiro.;Imprima a saída conforme exemplo fornecido.;False;2 / 10;151827;81508;53.68%
1021;Notas e Moedas;Iniciante;7;Leia um valor de ponto flutuante com duas casas decimais. Este valor representa um valor monetário. A seguir, calcule o menor número de notas e moedas possíveis no qual o valor pode ser decomposto. As notas consideradas são de 100, 50, 20, 10, 5, 2. As moedas possíveis são de 1, 0.50, 0.25, 0.10, 0.05 e 0.01. A seguir mostre a relação de notas necessárias.;O arquivo de entrada contém um valor de ponto flutuante N (0 ≤ N ≤ 1000000.00).;"Imprima a quantidade mínima de notas e moedas necessárias para trocar o valor inicial, conforme exemplo fornecido. 
	Obs: Utilize ponto (.) para separar a parte decimal.";False;7 / 10;195309;49668;25.43%
1022;TDA Racional;Estruturas e Bibliotecas;4;"A tarefa aqui neste problema é ler uma expressão matemática na forma de dois números Racionais (numerador / denominador) e apresentar o resultado da operação. Cada operando ou operador é separado por um espaço em branco. A sequência de cada linha que contém a expressão a ser lida é: número, caractere, número, caractere, número, caractere, número. A resposta deverá ser apresentada e posteriormente simplificada. Deverá então ser apresentado o sinal de igualdade e em seguida a resposta simplificada. No caso de não ser possível uma simplificação, deve ser apresentada a mesma resposta após o sinal de igualdade.
                
                    Considerando N1 e D1 como numerador e denominador da primeira fração, segue a orientação de como deverá ser realizada cada uma das operações: 
                    Soma: (N1*D2 + N2*D1) / (D1*D2)
                    Subtração: (N1*D2 - N2*D1) / (D1*D2)
                    Multiplicação: (N1*N2) / (D1*D2)
                    Divisão: (N1/D1) / (N2/D2), ou seja (N1*D2)/(N2*D1)";A entrada contem vários casos de teste. A primeira linha de cada caso de teste contem um inteiro N (1 ≤ N ≤ 1*104), indicando a quantidade de casos de teste que devem ser lidos logo a seguir. Cada caso de teste contém um valor racional X (1 ≤ X ≤ 1000), uma operação (-, +, * ou /) e outro valor racional Y (1 ≤ Y ≤ 1000).;A saída consiste em um valor racional, seguido de um sinal de igualdade e outro valor racional, que é a simplificação do primeiro valor. No caso do primeiro valor não poder ser simplificado, o mesmo deve ser repetido após o sinal de igualdade.;False;4 / 10;15395;6280;40.79%
1024;Criptografia;Strings;6;"Solicitaram para que você construisse um programa simples de criptografia. Este programa deve possibilitar enviar 
	mensagens codificadas sem que alguém consiga lê-las. O processo é muito simples. São feitas três passadas em 
	todo o texto.  
	Na primeira passada, somente caracteres que sejam letras minúsculas e maiúsculas devem ser deslocadas 3 posições para a direita, segundo a tabela ASCII: letra 'a' deve virar letra 'd', letra 'y' deve virar caractere '|' e assim sucessivamente. Na segunda passada, a linha deverá ser invertida. 
	Na terceira e última passada, todo e qualquer caractere a partir da metade em diante (truncada) devem ser deslocados uma posição para a esquerda na tabela ASCII. Neste caso, 'b' vira 'a' e 'a' vira '`'. 
	Por exemplo, se a entrada for “Texto #3”, o primeiro processamento sobre esta entrada deverá produzir “Wh{wr #3”.  
	O resultado do segundo processamento inverte os caracteres e produz “3# rw{hW”. Por último, com o deslocamento dos caracteres da metade em diante, 
	o resultado final deve ser “3# rvzgV”.";"A entrada contém vários casos de teste. A primeira linha de cada caso de teste contém um inteiro N (1 ≤ N ≤
	1*104), indicando a quantidade de linhas que o problema deve tratar. As N linhas contém cada 
	uma delas M (1 ≤ M ≤ 1*103) caracteres.";Para cada entrada, deve-se apresentar a mensagem criptografada.;False;6 / 10;37995;13402;35.27%
1025;Onde está o Mármore?;Estruturas e Bibliotecas;5;"Raju e Meena adoram jogar um jogo diferente com pequenas peças de mármores, chamados Marbles. 
	Eles têm um monte destas peças com números escritos neles. No início, Raju colocaria estes pequenos 
	mármores um após outro em ordem ascendente de números escritos neles. Então Meena gostaria de pedir a Raju 
	para encontrar o primeiro mármore com um certo número. Ele deveria contar 1...2...3. Raju ganha um 
	ponto por cada resposta correta e Meena ganha um ponto se Raju falha. Depois de um número fixo de tentativas, 
	o jogo termina e o jogador com o máximo de pontos vence. Hoje é sua chance de jogar com Raju. 
	Sendo um/a cara esperto/a, você tem em seu favor o computador. Mas não subestime Meena, ela 
	escreveu um programa para monitorar quanto tempo você levará para dar todas as respostas. 
	Portanto, agora escreva o programa, que ajudará você em seu desafio com Raju.";"A entrada contém vários casos de teste, mas o total de casos é menor do que 65. 
					Cada caso de teste inicia com dois inteiros: N  que é o número de mármores e 
					Q  que é o número de consultas que Meena deseja fazer. As próximas 
					N  linhas conterão os números escritos em cada um dos N mármores. 
					Os números destes mármores não tem qualquer ordem em particular. 
					As seguintes Q linhas irão conter Q consultas. Tenha certeza, 
					nenhum dos números da entrada é maior do que 10000 e nenhum deles é negativo.
	A entrada é terminada por um caso de teste onde N = 0 e Q = 0.";"Para cada caso de teste de saída deve haver um número serial do caso de teste. Para cada consulta, escreva uma linha de saída. O formato desta linha dependerá se o número consultado estiver ou não escrito em um dos mármores.
					Os dois diferentes formatos são descritos abaixo:
	'x found at y', se o primeiro marble x foi encontrado na posição y. Posições são numeradas de 1, 2,...  a N.
	'x not found', se o marble com o número x não estiver presente.";False;5 / 10;21963;6603;30.06%
1026;Carrega ou não Carrega?;Ad-Hoc;5;"6+9=15 parece ok. Mas como pode estar certo 4+6=2?
	
	Veja só. Mofiz trabalhou duro durante seu curso de Eletrônica Digital, mas quando lhe foi solicitado que implementasse um somador de 32 bits como exame no laboratório, ele acabou fazendo algum erro na parte de projeto. Depois de vasculhar seu projeto por uma hora e meia, ele encontrou seu erro. Ele estava fazendo soma de bits, mas seu carregador de bit (carry) sempre apresentava como saída o valor zero. Portanto,
	4  = 00000000 00000000 00000000 00000100
	+6 = 00000000 00000000 00000000 00000110
	----------------------------------------
	2  = 00000000 00000000 00000000 00000010

	
	Claro que já é uma boa coisa ele finalmente ter encontrado o seu erro, mas isso foi muito tarde. Considerando seu esforço durante o curso, o instrutor deu a ele mais uma chance: Mofiz teria que escrever um programa eficiente que pegaria 2 valores decimais de 32 bits sem sinal como entrada e deveria produzir um número de 32 bits sem sinal como saída, ou seja, somando do mesmo modo como o circuito faz.";Em cada linha de entrada haverá um par de inteiros separado por um único espaço. A entrada termina com EOF.;Para cada linha de entrada, o programa deverá fornecer uma linha de saída, que é o valor após somar dois números no modo “Mofiz”.;True;5 / 10;32608;10828;33.21%
1027;Onda Crítica;Paradigmas;8;"A tarefa é simples. Através de alguns pontos críticos em 2D, você deve desenhar uma onda como uma curva. Seu objetivo é incluir tantos pontos quantos forem possível.
                
                    
                        Haverá uma linha imaginária y = a, a qual chamaremos de eixo principal para a curva.
                    
                    
                        Todos os pontos na curva deverão ter diferentes coordenadas x. Suas coordenadas y devem ser na forma a-1 ou a+1.
                    
                
                
                    Dois pontos consecutivos na curva devem ter diferença de 2 na coordenada y.";Haverá no máximo, 222 casos de testes. Cada caso inicia com um inteiro N, que é o número de pontos no caso de teste. Nas próximas N linhas, haverá N pares de inteiros dando as coordenadas x e y de cada ponto. Não haverá mais do que 1000 pontos em cada caso de teste. Todas coordenadas são inteiros – eles devem ficar dentro de um inteiro de 2 bytes com sinal. Os dados devem ser lidos da entrada padrão.;Para cada caso de teste, imprima um número – o número máximo de pontos críticos que podem ser incluídos em uma curva desenhada a partir dos pontos dados.;True;8 / 10;2154;511;23.72%
1028;Figurinhas;Matemática;3;Ricardo e Vicente são aficionados por figurinhas. Nas horas vagas, eles arrumam um jeito de jogar um “bafo” ou algum outro jogo que envolva tais figurinhas. Ambos também têm o hábito de trocarem as figuras repetidas com seus amigos e certo dia pensaram em uma brincadeira diferente. Chamaram todos os amigos e propuseram o seguinte: com as figurinhas em mãos, cada um tentava fazer uma troca com o amigo que estava mais perto seguindo a seguinte regra: cada um contava quantas figurinhas tinha. Em seguida, eles tinham que dividir as figurinhas de cada um em pilhas do mesmo tamanho, no maior tamanho que fosse possível para ambos. Então, cada um escolhia uma das pilhas de figurinhas do amigo para receber. Por exemplo, se Ricardo e Vicente fossem trocar as figurinhas e tivessem respectivamente 8 e 12 figuras, ambos dividiam todas as suas figuras em pilhas de 4 figuras (Ricardo teria 2 pilhas e Vicente teria 3 pilhas) e ambos escolhiam uma pilha do amigo para receber.;A primeira linha da entrada contém um único inteiro N (1 ≤ N ≤ 3000), indicando o número de casos de teste. Cada caso de teste contém 2 inteiros F1 (1 ≤ F1 ≤ 1000) e F2 (1 ≤ F2 ≤ 1000) indicando, respectivamente, a quantidade de figurinhas que Ricardo e Vicente têm para trocar.;Para cada caso de teste de entrada haverá um valor na saída, representando o tamanho máximo da pilha de figurinhas que poderia ser trocada entre dois jogadores.;True;3 / 10;24375;10142;41.61%
1029;Fibonacci, Quantas Chamadas?;Paradigmas;3;"Quase todo estudante de Ciência da Computação recebe em algum momento no início de seu curso de graduação algum problema envolvendo a sequência de Fibonacci. Tal sequência tem como os dois primeiros valores 0 (zero) e 1 (um) e cada próximo valor será sempre a soma dos dois valores imediatamente anteriores. Por definição, podemos apresentar a seguinte fórmula para encontrar qualquer número da sequência de Fibonacci:
	
	fib(0) = 0
	fib(1) = 1
	fib(n) = fib(n-1) + fib(n-2);
	Uma das formas de encontrar o número de Fibonacci é através de chamadas recursivas. Isto é ilustrado a seguir, apresentando a árvore de derivação ao calcularmos o valor fib(4), ou seja o 5º valor desta sequência:
	  
	
	
	Desta forma,

	
		fib(4) = 1+0+1+1+0 = 3
	
		Foram feitas 8 calls, ou seja, 8 chamadas recursivas.";A primeira linha da entrada contém um único inteiro N, indicando o número de casos de teste. Cada caso de teste contém um inteiro X (1 ≤ X ≤ 39) .;Para cada caso de teste de entrada deverá ser apresentada uma linha de saída, no seguinte formato: fib(n) = num_calls calls = result, aonde num_calls é o número de chamadas recursivas, tendo sempre um espaço antes e depois do sinal de igualdade, conforme o exemplo abaixo.;True;3 / 10;18508;9157;49.48%
1030;A Lenda de Flavious Josephus;Ad-Hoc;4;O problema de Josephus é assim conhecido por causa da lenda de Flavius Josephus, um historiador judeu que viveu no século 1. Segundo o relato de Josephus do cerco de Yodfat, ele e seus companheiros (40 soldados) foram presos em uma caverna, cuja saída foi bloqueada pelos romanos. Eles preferiram suicidar-se a serem capturados, e decidiram que iriam formar um círculo e começar a matar-se pulando de três em três. Josephus afirma que, por sorte ou talvez pela mão de Deus, ele permaneceu por último e preferiu entregar-se aos romanos a suicidar-se.;"Haverá NC (1 ≤ NC ≤ 30 ) casos de teste. Em cada caso de teste de entrada haverá um par de números inteiros positivos n (1 ≤ n ≤ 10000 ) e k (1 ≤ k ≤ 1000). O  número n representa a quantidade de pessoas no círculo, numeradas de 1 até n. O número k representa o tamanho do salto de um homem até o próximo homem que será morto.
                    Segue um exemplo com 5 homens e um salto = 2.
                    
                
                Neste exemplo o elemento que restará após as eliminações é 3.";Para cada caso de teste de entrada será apresentada uma linha de saída no seguinte formato: Case n: m tendo sempre um espaço antes do n e do m.;True;4 / 10;14011;6305;45.00%
1031;Crise de Energia;Ad-Hoc;4;"Durante uma crise de energia na Nova Zelândia no inverno passado (causada por uma escassez de chuva e, consequentemente, por causa dos níveis baixos nas barragens hidrográficas), um esquema de contingência foi desenvolvido para desligar a energia para as áreas do país de forma sistemática, de uma forma totalmente justa. O país foi dividido em N regiões (Auckland seria a região número 1 e Wellington a número 13). Um número, m, seria escolhido randomicamente e a energia deveria ser desligada primeiro na região 1 (claramente o ponto de início mais justo) e então em cada m região após esta, indo de uma a outra região e ignorando as regiões já desligadas. Por exemplo, se N = 17 e m = 5, a energia deverá ser desligada em todas as regiões seguindo a seguinte ordem: 1,6,11,16,5,12,2,9,17,10,4,15,14,3,8,13,7.
                    O problema é que, claramente seria mais justo desligar a região de Wellington por último (Isso porque é onde a sede da empresa se encontra). Portanto, para um dado N (regiões), o número aleatório m (salto) precisa ser cuidadosamente escolhido de forma que a região 13 seja a última região a ser escolhida.
                    Escreva um programa que leia o número de regiões e determine o menor número m que assegure que Wellington (região 13) possa continuar funcionando enquanto o resto do país esteja desligado.";A entrada consistirá de uma série de linhas, cada uma contendo o número de regiões N (13 ≤ N ≤ 100 ). O fim da entrada é indicado por uma linha consistindo de um valor zero (0).;A saída consistirá de uma série de linhas, uma linha para cada linha de entrada. Cada linha consistirá de um m de acordo com o esquema acima apresentado.;True;4 / 10;4862;2514;51.71%
1032;O Primo de Josephus;Ad-Hoc;5;"O problema de Josephus é notoriamente conhecido. Para aqueles que não estão familiarizados com o problema, entre n pessoas numeradas 1,2 ... n, de pé em círculo cada um deve ser executado e só a vida do último que sobrar será preservada. Josephus foi esperto o suficiente para escolher a posição da última pessoa restante, poupando a sua vida.
	Apesar de muitos bons programadores poderem se salvar desde que Josephus espalhou essa informação (o lugar onde ficar para não ser executado), o primo de Josephus introduziu uma nova variante do jogo maligno. Este personagem insano é conhecido por suas idéias bárbaras e desejos para limpar o mundo de programadores. Tivemos de infiltrar alguns agentes os da ACM, a fim de conhecer o processo neste novo jogo mortal.
	A fim de salvar-se de esta prática mal, você deve desenvolver uma ferramenta capaz de prever qual será a pessoa salva.
	O processo destrutivo
	As pessoas são eliminados em uma ordem muito peculiar: m é uma variável dinâmica, que cada vez tem um valor diferente correspondente a sucessão dos números primos de (2,3,5,7 ...). Então, para matar a pessoa i, o primo de Josephus conta até o próximo m primo.";Consiste em linhas separadas, contendo n [1 .. 3501], e termina com um 0.;A saída consistirá em linhas separadas relativos à posição da pessoa que a vida será salva.;False;5 / 10;4637;1765;38.06%
1033;Quantas Chamadas Recursivas?;Paradigmas;6;"Os números de fibonacci são definidos pela seguinte recorrência:

	
		fib(0) = 0
	
		fib(1) = 1
	
		fib(n) = fib(n-1)+fib(n-2)


	Mas não estamos interessados em números de Fibonacci aqui. Gostaríamos de saber quantas chamadas recursivas seriam necessárias para um determinado número de Fibonacci n, seguindo a recorrência normal. Uma vez que os números serão bem grandes, não será uma tarefa muito simples para você. Mas então vamos torná-la um pouco mais fácil: queremos que você apresente somente o ultimo dígito do numero de chamadas, onde este número deve estar na base b.";A entrada consiste em vários casos de teste. Para cada caso de teste haverá dois números inteiros n (0 ≤ n < (263 - 1)) e b (1 < b ≤ 10000). A entrada será terminada por um caso de teste onde n=0 e b=0, que não deve ser processada.;Para cada caso de teste deve ser impresso o número do caso de teste na saída. Em seguida, imprima n, b e o ultimo dígito (na base b) do número de chamadas. Deverá haver um único espaço entre estes dois números. Note que o ultimo dígito deverá ser apresentado no formato de um número decimal.;False;6 / 10;2071;655;31.63%
1034;Festival de Estátuas de Gelo;Paradigmas;7;"Todos os anos, artistas de todo o mundo se reúnem na cidade, onde fazem esculturas de gelo gigantescas. A cidade vira uma galeria de arte ao céu aberto, uma vez que as esculturas ficam expostas na rua por semanas, sem derreter. Afinal, a temperatura média no inverno de Harbin (época em que ocorrerá a final mundial do ICPC) é de -20 graus.
                    
                    O primeiro passo para fazer a escultura é montar um grande bloco de gelo da dimensão pedida pelo artista. Os blocos são recortados das geleiras de Harbin em blocos de altura e profundidade padrão e vários comprimentos diferentes. O artista pode determinar qual o comprimento que ele deseja que tenha o seu bloco de gelo para que a escultura possa começar a ser esculpida.
                    
                    Os comprimentos disponíveis dos blocos são {a1; a2; ...;  aN} e o comprimento que o artista deseja é M. O bloco de comprimento 1 é muito usado, por este motivo ele sempre aparece na lista de blocos disponíveis. Sua tarefa é determinar o número mínimo de blocos tal que a soma de seus comprimentos seja M.";"A entrada é composta por diversas instâncias. A primeira linha da entrada contém um inteiro T indicando o número de instâncias. A primeira linha de cada instância contém dois inteiros N (1 ≤ N ≤ 25) e M (1 ≤ M ≤ 1000000) representando o número de tipos de blocos e o comprimento desejado pelo artista, respectivamente. A próxima linha contém os inteiros a1; a2; ...; aN , onde (1 ≤ ai ≤ 100) para todo i (1,2,...N) separados por espaço.";Para cada instância, imprima o número mínimo de blocos necessários para obter um bloco de comprimento M.;True;7 / 10;8305;2782;33.50%
1035;Teste de Seleção 1;Iniciante;3;"Leia 4 valores inteiros A, B, C e D. A seguir, se B for maior do que C e se D for maior do que A, e a soma de C com D for maior que a soma de A e B e se C e D, ambos, forem positivos e se a variável A for par escrever a mensagem ""Valores aceitos"", senão escrever ""Valores nao aceitos"".";Quatro números inteiros A, B, C e D.;Mostre a respectiva mensagem após a validação dos valores.;False;3 / 10;171682;78980;46.00%
1036;Fórmula de Bhaskara;Iniciante;4;Leia 3 valores de ponto flutuante e efetue o cálculo das raízes da equação de Bhaskara. Se não for possível calcular as raízes, mostre a mensagem correspondente “Impossivel calcular”, caso haja uma divisão por 0 ou raiz de numero negativo.;Leia três valores de ponto flutuante (double) A, B e C.;"Se não houver possibilidade de calcular as raízes, apresente a mensagem ""Impossivel calcular"". 
	Caso contrário, imprima o resultado das raízes com 5 dígitos após o ponto, 
	com uma mensagem correspondente conforme exemplo abaixo. Imprima sempre o final de linha após cada mensagem.";False;4 / 10;192461;67487;35.07%
